movie_name,ranking,score,score_num
这个杀手不太冷,1,9.4,1403290
指环王3：王者无敌,2,9.2,435257
七武士,3,9.2,109552
蝙蝠侠：黑暗骑士,4,9.1,566849
搏击俱乐部,5,9,546179
指环王1：魔戒再现,6,9,457439
指环王2：双塔奇兵,7,9,407515
攻壳机动队,8,9,82312
将军号,9,9,12591
V字仇杀队,10,8.9,639443
黑客帝国,11,8.9,438494
勇敢的心,12,8.9,389974
用心棒,13,8.9,20505
让子弹飞,14,8.8,945044
谍影重重3,15,8.8,256561
纵横四海,16,8.8,228645
乱,17,8.8,47321
黑客帝国动画版,18,8.8,36591
蝙蝠侠：黑暗骑士归来(下),19,8.8,20535
桥,20,8.8,14893
攻壳机动队SSS,21,8.8,11198
我的英雄学院 第2季：英雄笔记,22,8.8,1972
头号玩家,23,8.7,831564
阿凡达,24,8.7,793072
加勒比海盗,25,8.7,523257
蝙蝠侠：黑暗骑士崛起,26,8.7,418793
被解救的姜戈,27,8.7,360213
英雄本色,28,8.7,279584
黑客帝国3：矩阵革命,29,8.7,227852
枪火,30,8.7,135615
东邪西毒：终极版,31,8.7,121374
精英部队2：大敌当前,32,8.7,55815
椿三十郎,33,8.7,11888
铁达尼号沉没记,34,8.7,5096
复仇者联盟4：终局之战,35,8.6,658021
超能陆战队,36,8.6,570629
蜘蛛侠：平行宇宙,37,8.6,376081
东邪西毒,38,8.6,364976
疯狂的麦克斯4：狂暴之路,39,8.6,298884
谍影重重,40,8.6,262440
谍影重重2,41,8.6,220228
终结者2：审判日,42,8.6,200147
勇闯夺命岛,43,8.6,183082
黑鹰坠落,44,8.6,170704
恶童,45,8.6,54330
宾虚,46,8.6,23319
敲开天堂的门,47,8.6,10959
西线无战事,48,8.6,9975
大菩萨岭,49,8.6,6799
兽兵卫忍风帖,50,8.6,6360
碧血金沙,51,8.6,5080
落叶,52,8.6,4716
滑铁卢战役,53,8.6,1230
小萝莉的猴神大叔,54,8.5,274285
新龙门客栈,55,8.5,260059
黑客帝国2：重装上阵,56,8.5,198854
暗战,57,8.5,150216
角斗士,58,8.5,148657
王牌对王牌,59,8.5,79939
启示,60,8.5,55136
正义联盟：闪点悖论,61,8.5,17466
杀死比尔整个血腥事件,62,8.5,13821
侠女,63,8.5,11955
午夜狂奔,64,8.5,11442
最长的一天,65,8.5,8653
红线,66,8.5,5276
死亡的游戏,67,8.5,2734
通往自由的通道,68,8.5,1982
笔中情,69,8.5,1723
釜山行,70,8.4,569769
功夫,71,8.4,471991
王牌特工：特工学院,72,8.4,455454
变脸,73,8.4,273835
速度与激情5,74,8.4,259012
无间道2,75,8.4,230717
蝙蝠侠：侠影之谜,76,8.4,209572
罪恶之城,77,8.4,154276
神探,78,8.4,145840
黄海,79,8.4,117235
守望者,80,8.4,110488
星球大战,81,8.4,86031
盗火线,82,8.4,78158
天国王朝,83,8.4,63042
喋血双雄,84,8.4,50685
阿基拉,85,8.4,33446
荒野大镖客,86,8.4,29801
精武门,87,8.4,23177
蝙蝠侠：红影迷踪,88,8.4,9284
空山灵雨,89,8.4,6765
战国英豪,90,8.4,5916
盗信情缘,91,8.4,4079
飞行器里的好小伙，或我是怎样花25小时11分从伦敦飞到巴黎,92,8.4,3911
红海行动,93,8.3,696845
速度与激情7,94,8.3,342730
金刚狼3：殊死一战,95,8.3,330836
碟中谍4,96,8.3,319083
霍比特人3：五军之战,97,8.3,254538
霍比特人2：史矛革之战,98,8.3,252560
飓风营救,99,8.3,162894
热血警探,100,8.3,109813
英雄本色2,101,8.3,87715
精武英雄,102,8.3,74305
星球大战前传3：西斯的复仇,103,8.3,70343
监狱风云,104,8.3,66312
星球大战2：帝国反击战,105,8.3,65542
太极旗飘扬,106,8.3,62857
星球大战3：绝地归来,107,8.3,60077
一个字头的诞生,108,8.3,37913
魁拔Ⅲ战神崛起,109,8.3,29587
猛龙过江,110,8.3,25889
卡桑德拉大桥,111,8.3,17096
白色严冬,112,8.3,9881
奏鸣曲,113,8.3,9055
关山飞渡,114,8.3,7386
喊山,115,8.3,6349
日落黄沙,116,8.3,5934
机动警察剧场版1,117,8.3,4610
孟菲斯美女号,118,8.3,2921
飞出个未来大电影2：万背之兽,119,8.3,2546
菜鸟总动员：毕业,120,8.3,2391
福禄双霸天,121,8.3,2274
最臭兵器,122,8.3,1839
忍者小英雄,123,8.3,1202
船长二世,124,8.3,1059
粉身碎骨,125,8.3,1019
复仇者联盟,126,8.2,498527
钢铁侠,127,8.2,401636
X战警：逆转未来,128,8.2,348978
变形金刚,129,8.2,324327
后天,130,8.2,307742
第九区,131,8.2,291729
霍比特人1：意外之旅,132,8.2,286805
杀死比尔,133,8.2,283316
加勒比海盗2：聚魂棺,134,8.2,273451
X战警：第一战,135,8.2,262507
加勒比海盗3：世界的尽头,136,8.2,254547
国产凌凌漆,137,8.2,239921
铁甲钢拳,138,8.2,201194
老男孩,139,8.2,186719
真实的谎言,140,8.2,117609
买凶拍人,141,8.2,108850
铁雨,142,8.2,68751
虎胆龙威,143,8.2,59328
第一滴血,144,8.2,57306
西北偏北,145,8.2,55049
最终幻想7：圣子降临,146,8.3,47650
夺宝奇兵3,147,8.2,43689
天若有情,148,8.2,40802
处刑人,149,8.2,37577
僵尸先生,150,8.2,36974
野战排,151,8.2,30413
雌雄大盗,152,8.2,30224
喋血街头,153,8.2,28661
双旗镇刀客,154,8.2,23341
爱的曝光,155,8.2,20502
追捕,156,8.2,20144
蝙蝠侠：黑暗骑士归来(上),157,8.2,18028
龙争虎斗,158,8.2,15859
小倩,159,8.2,15813
老人Z,160,8.2,6235
胜利之光,161,8.2,5908
变形金刚大电影,162,8.2,3974
迎春阁之风波,163,8.2,3612
天与地,164,8.2,3247
战略大作战,165,8.2,2947
红河,166,8.2,2060
疤面人,167,8.2,1904
奈克瑟斯奥特曼剧场版,168,8.2,1588
侍,169,8.2,1247
盗日者,170,8.2,1241
无双,171,8.1,639736
复仇者联盟3：无限战争,172,8.1,605179
碟中谍6：全面瓦解,173,8.1,395534
银河护卫队,174,8.1,385334
明日边缘,175,8.1,328159
猩球崛起,176,8.1,318355
黑衣人,177,8.1,213354
超人总动员,178,8.1,203737
师父,179,8.1,199461
我，机器人,180,8.1,187440
罗拉快跑,181,8.1,181296
碟中谍,182,8.1,176811
树大招风,183,8.1,143587
孤胆特工,184,8.1,141452
空中监狱,185,8.1,137197
终结者,186,8.1,130826
勇敢者的游戏,187,8.1,96418
黄飞鸿,188,8.1,93706
升级,189,8.1,90294
生死时速,190,8.1,87261
国家公敌,191,8.1,84921
星球大战前传1：幽灵的威胁,192,8.1,79110
未知死亡,193,8.1,72016
狗咬狗,194,8.1,56026
少林寺,195,8.1,51785
怒火救援,196,8.1,50428
枪王,197,8.1,43131
孤独的幸存者,198,8.1,39794
爱国者,199,8.1,26954
实尾岛,200,8.1,23653
少年菀得,201,8.1,16511
佐罗,202,8.1,12305
龙门客栈,203,8.1,9091
天劫余生,204,8.1,6132
蝙蝠侠：元年,205,8.1,6005
遥远的桥,206,8.1,4751
少年泰坦出击电影版,207,8.1,3829
侠僧探案传奇之大夜叉,208,8.1,3187
大饭店,209,8.1,3125
跳跃大搜查线：湾岸署史上最恶的3日间,210,8.1,2606
血染雪山堡,211,8.1,2225
达摩祖师,212,8.1,2204
独孤：倒回,213,8.1,2011
太秦灯光下,214,8.1,1358
座头市物语,215,8.1,1091
人斩,216,8.1,1038
湄公河行动,217,8,499371
功夫熊猫,218,8,403267
银河护卫队2,219,8,350875
美国队长2,220,8,341173
蜘蛛侠：英雄远征,221,8,340655
功夫熊猫2,222,8,334280
疯狂的赛车,223,8,231171
独立日,224,8,190330
鹿鼎记,225,8,188333
生化危机,226,8,177270
星际迷航2：暗黑无界,227,8,174497
暗杀,228,8,143520
星际迷航,229,8,122654
秘密特工,230,8,97517
暴力街区,231,8,91621
异形2,232,8,88423
天生杀人狂,233,8,87372
黄飞鸿之二：男儿当自强,234,8,73758
危情三日,235,8,65429
乐高蝙蝠侠大电影,236,8,46559
疾速备战,237,8,44251
囚室211,238,8,32210
座头市,239,8,30603
猎杀U-571,240,8,30125
决战犹马镇,241,8,27454
亡命天涯,242,8,26222
刀,243,8,24051
飞天小女警 剧场版,244,8,18053
蝙蝠侠：突袭阿卡姆,245,8,8707
洛奇3,246,8,7758
新独臂刀,247,8,7234
野鹅敢死队,248,8,5563
痛击,249,8,4817
飞出个未来大电影3：班德的游戏,250,8,2834
忠烈图,251,8,2077
血洗鳄鱼仇,252,8,1916
众神与将军,253,8,1494
美丽拳王,254,8,1048
带子雄狼：出租孩子与武艺,255,8,1018
一代宗师,256,7.9,388568
天下无贼,257,7.9,324704
荒野猎人,258,7.9,281188
食神,259,7.9,257477
金刚,260,7.9,221778
无间道3：终极无间,261,7.9,185640
超人总动员2,262,7.9,183401
杀死比尔2,263,7.9,169389
第五元素,264,7.9,151562
狂怒,265,7.9,129025
兰戈,266,7.9,101388
A计划,267,7.9,83428
黄飞鸿之三：狮王争霸,268,7.9,81129
星球大战前传2：克隆人的进攻,269,7.9,65814
热血高校2,270,7.9,60861
夺宝奇兵,271,7.9,58625
卑劣的街头,272,7.9,57555
笑傲江湖,273,7.9,53999
最后的武士,274,7.9,53347
走到尽头,275,7.9,48996
突袭2：暴徒,276,7.9,40924
极恶非道,277,7.9,36178
精英部队,278,7.9,32372
辣手神探,279,7.9,25559
警戒结束,280,7.9,21060
冲锋队之怒火街头,281,7.9,9849
向日葵,282,7.9,9404
斯巴达克斯,283,7.9,8925
正义联盟：战争,284,7.9,8210
红潮风暴,285,7.9,7504
学校风云,286,7.9,6839
终极细胞战,287,7.9,5382
势不两立,288,7.9,5076
笑破铁幕,289,7.9,3411
省港旗兵4：地下通道,290,7.9,2712
天与地,291,7.9,2677
跳跃大搜查线最终篇：新的希望,292,7.9,2361
斩,293,7.9,1154
摔角狂热 30,294,7.9,1039
2012,295,7.8,392142
movie_name,ranking,score,score_num
这个杀手不太冷,1,9.4,1403294
指环王3：王者无敌,2,9.2,435257
七武士,3,9.2,109552
蝙蝠侠：黑暗骑士,4,9.1,566849
搏击俱乐部,5,9,546179
指环王1：魔戒再现,6,9,457439
指环王2：双塔奇兵,7,9,407515
攻壳机动队,8,9,82312
将军号,9,9,12591
V字仇杀队,10,8.9,639443
黑客帝国,11,8.9,438495
勇敢的心,12,8.9,389975
用心棒,13,8.9,20505
让子弹飞,14,8.8,945045
谍影重重3,15,8.8,256561
纵横四海,16,8.8,228646
乱,17,8.8,47321
黑客帝国动画版,18,8.8,36593
蝙蝠侠：黑暗骑士归来(下),19,8.8,20535
桥,20,8.8,14893
攻壳机动队SSS,21,8.8,11198
我的英雄学院 第2季：英雄笔记,22,8.8,1972
头号玩家,23,8.7,831568
阿凡达,24,8.7,793074
加勒比海盗,25,8.7,523257
蝙蝠侠：黑暗骑士崛起,26,8.7,418794
被解救的姜戈,27,8.7,360214
