country,density,deteil_url,flag_url,num,ranking,rate
中国,139.6,https://www.phb123.com/city/renkou/country_1.html,https://img.phb123.com/uploads/guoqi/CN.jpg,"1,395,380,000",1,0.39%
印度,411.87,https://www.phb123.com/city/renkou/country_2.html,https://img.phb123.com/uploads/guoqi/IN.jpg,"1,354,051,854",2,1.11%
美国,34.86,https://www.phb123.com/city/renkou/country_3.html,https://img.phb123.com/uploads/guoqi/US.jpg,"326,766,748",3,0.71%
印度尼西亚,140.08,https://www.phb123.com/city/renkou/country_4.html,https://img.phb123.com/uploads/guoqi/ID.jpg,"266,794,980",4,1.06%
巴西,24.76,https://www.phb123.com/city/renkou/country_5.html,https://img.phb123.com/uploads/guoqi/BR.jpg,"210,867,954",5,0.75%
巴基斯坦,227.7,https://www.phb123.com/city/renkou/country_6.html,https://img.phb123.com/uploads/defaultpic.gif,"200,813,818",6,1.93%
尼日利亚,212.04,https://www.phb123.com/city/renkou/country_7.html,https://img.phb123.com/uploads/guoqi/NG.jpg,"195,875,237",7,2.61%
孟加拉国,1127.38,https://www.phb123.com/city/renkou/country_8.html,https://img.phb123.com/uploads/defaultpic.gif,"166,368,149",8,1.03%
俄罗斯,8.42,https://www.phb123.com/city/renkou/country_9.html,https://img.phb123.com/uploads/guoqi/RU.jpg,"143,964,709",9,0.00%
墨西哥,66.57,https://www.phb123.com/city/renkou/country_10.html,https://img.phb123.com/uploads/guoqi/MX.jpg,"130,759,074",10,1.24%
日本,336.53,https://www.phb123.com/city/renkou/country_11.html,https://img.phb123.com/uploads/guoqi/JP.jpg,"127,185,332",11,0.00%
埃塞俄比亚,97.38,https://www.phb123.com/city/renkou/country_12.html,https://img.phb123.com/uploads/defaultpic.gif,"106,672,306",12,2.46%
菲律宾,311.12,https://www.phb123.com/city/renkou/country_13.html,https://img.phb123.com/uploads/guoqi/PH.jpg,"106,512,074",13,1.52%
埃及,99.13,https://www.phb123.com/city/renkou/country_14.html,https://img.phb123.com/uploads/guoqi/EG.jpg,"99,375,741",14,1.87%
越南,291.33,https://www.phb123.com/city/renkou/country_15.html,https://img.phb123.com/uploads/guoqi/VN.jpg,"96,491,146",15,0.99%
刚果民主共和国,34.7,https://www.phb123.com/city/renkou/country_16.html,https://img.phb123.com/uploads/defaultpic.gif,"82,643,624",16,3.09%
德国,230.44,https://www.phb123.com/city/renkou/country_17.html,https://img.phb123.com/uploads/guoqi/DE.jpg,"82,293,457",17,0.22%
伊朗,49.76,https://www.phb123.com/city/renkou/country_18.html,https://img.phb123.com/uploads/defaultpic.gif,"82,011,735",18,1.05%
土耳其,104.54,https://www.phb123.com/city/renkou/country_19.html,https://img.phb123.com/uploads/guoqi/TR.jpg,"81,916,871",19,1.45%
泰国,134.83,https://www.phb123.com/city/renkou/country_20.html,https://img.phb123.com/uploads/guoqi/TH.jpg,"69,183,173",20,0.21%
英国,274.08,https://www.phb123.com/city/renkou/country_21.html,https://img.phb123.com/uploads/defaultpic.gif,"66,573,504",21,0.59%
法国,118.24,https://www.phb123.com/city/renkou/country_22.html,https://img.phb123.com/uploads/guoqi/FR.jpg,"65,233,271",22,0.39%
意大利,196.76,https://www.phb123.com/city/renkou/country_23.html,https://img.phb123.com/uploads/guoqi/IT.jpg,"59,290,969",23,0.00%
坦桑尼亚,62.52,https://www.phb123.com/city/renkou/country_24.html,https://img.phb123.com/uploads/guoqi/TZ.jpg,"59,091,392",24,3.11%
南非,47.01,https://www.phb123.com/city/renkou/country_25.html,https://img.phb123.com/uploads/guoqi/ZA.jpg,"57,398,421",25,1.20%
缅甸,79.6,https://www.phb123.com/city/renkou/country_26.html,https://img.phb123.com/uploads/defaultpic.gif,"53,855,735",26,0.91%
韩国,510.57,https://www.phb123.com/city/renkou/country_27.html,https://img.phb123.com/uploads/guoqi/KR.jpg,"51,164,435",27,0.36%
肯尼亚,87.79,https://www.phb123.com/city/renkou/country_28.html,https://img.phb123.com/uploads/defaultpic.gif,"50,950,879",28,2.52%
哥伦比亚,43.32,https://www.phb123.com/city/renkou/country_29.html,https://img.phb123.com/uploads/guoqi/CO.jpg,"49,464,683",29,0.81%
西班牙,91.7,https://www.phb123.com/city/renkou/country_30.html,https://img.phb123.com/uploads/guoqi/ES.jpg,"46,397,452",30,0.09%
阿根廷,16.07,https://www.phb123.com/city/renkou/country_31.html,https://img.phb123.com/uploads/guoqi/AR.jpg,"44,688,864",31,0.94%
乌干达,183.28,https://www.phb123.com/city/renkou/country_32.html,https://img.phb123.com/uploads/defaultpic.gif,"44,270,563",32,3.28%
乌克兰,72.92,https://www.phb123.com/city/renkou/country_33.html,https://img.phb123.com/uploads/guoqi/UA.jpg,"44,009,214",33,0.00%
阿尔及利亚,17.64,https://www.phb123.com/city/renkou/country_34.html,https://img.phb123.com/uploads/guoqi/DZ.jpg,"42,008,054",34,1.67%
苏丹,22.01,https://www.phb123.com/city/renkou/country_35.html,https://img.phb123.com/uploads/defaultpic.gif,"41,511,526",35,2.41%
伊拉克,89.75,https://www.phb123.com/city/renkou/country_36.html,https://img.phb123.com/uploads/defaultpic.gif,"39,339,753",36,2.78%
波兰,121.87,https://www.phb123.com/city/renkou/country_37.html,https://img.phb123.com/uploads/guoqi/PL.jpg,"38,104,832",37,0.00%
加拿大,3.7,https://www.phb123.com/city/renkou/country_38.html,https://img.phb123.com/uploads/guoqi/CA.jpg,"36,953,765",38,0.90%
阿富汗,55.77,https://www.phb123.com/city/renkou/country_39.html,https://img.phb123.com/uploads/defaultpic.gif,"36,373,176",39,2.37%
摩洛哥,81.05,https://www.phb123.com/city/renkou/country_40.html,https://img.phb123.com/uploads/guoqi/MA.jpg,"36,191,805",40,1.27%
沙特阿拉伯,15.61,https://www.phb123.com/city/renkou/country_41.html,https://img.phb123.com/uploads/guoqi/SA.jpg,"33,554,343",41,1.87%
秘鲁,25.33,https://www.phb123.com/city/renkou/country_42.html,https://img.phb123.com/uploads/guoqi/PE.jpg,"32,551,815",42,1.20%
委内瑞拉,35.33,https://www.phb123.com/city/renkou/country_43.html,https://img.phb123.com/uploads/guoqi/VE.jpg,"32,381,221",43,1.26%
